/usr/local/miniconda3/lib/python3.8/site-packages/diffusers/models/lora.py:208: FutureWarning: `LoRALinearLayer` is deprecated and will be removed in version 1.0.0. Use of `LoRALinearLayer` is deprecated. Please switch to PEFT backend by installing PEFT: `pip install peft`.
  deprecate("LoRALinearLayer", "1.0.0", deprecation_message)
Successfully loaded weights from checkpoint /hy-tmp/models/IP-Adapter/sdxl_models/ip-adapter-plus_sdxl_vit-h.bin
len train_dataset:  2125
/usr/local/miniconda3/lib/python3.8/site-packages/diffusers/configuration_utils.py:140: FutureWarning: Accessing config attribute `num_train_timesteps` directly via 'DDPMScheduler' object attribute is deprecated. Please access 'num_train_timesteps' over 'DDPMScheduler's config object instead, e.g. 'scheduler.config.num_train_timesteps'.
  deprecate("direct config name access", "1.0.0", deprecation_message, standard_warn=False)
Epoch 0, global_step 84, time: 0.4557519964873791s, step_loss: 0.3241960406303406
Epoch 0, global_step 85, time: 0.45990968123078346s, step_loss: 0.2533946633338928
Epoch 0, global_step 86, time: 0.44571708887815475s, step_loss: 0.25890716910362244
Epoch 0, global_step 87, time: 0.4460948631167412s, step_loss: 0.2638090252876282
Epoch 0, global_step 88, time: 0.45743725448846817s, step_loss: 0.28721392154693604
Epoch 0, global_step 89, time: 0.4554210789501667s, step_loss: 0.04615097492933273
Epoch 0, global_step 90, time: 0.45531658455729485s, step_loss: 0.0030656149610877037
Epoch 0, global_step 91, time: 0.4551032558083534s, step_loss: 0.18284672498703003
Epoch 0, global_step 92, time: 0.4547932744026184s, step_loss: 0.14382825791835785
Epoch 0, global_step 93, time: 0.45213163644075394s, step_loss: 0.20813557505607605
Epoch 0, global_step 94, time: 0.4555414132773876s, step_loss: 0.3097415268421173
Epoch 0, global_step 95, time: 0.45285361632704735s, step_loss: 0.18725281953811646
Epoch 0, global_step 96, time: 0.45113394781947136s, step_loss: 0.30820170044898987
Epoch 0, global_step 97, time: 0.4573144353926182s, step_loss: 0.3040141761302948
Epoch 0, global_step 98, time: 0.4572533406317234s, step_loss: 0.07776116579771042
Epoch 0, global_step 99, time: 0.4534425139427185s, step_loss: 0.17055225372314453
Epoch 0, global_step 100, time: 0.45228350907564163s, step_loss: 0.09017761796712875
Epoch 0, global_step 101, time: 0.4528394974768162s, step_loss: 0.04459046572446823
Epoch 0, global_step 102, time: 0.46294743195176125s, step_loss: 0.1067119836807251
Epoch 0, global_step 103, time: 0.457455288618803s, step_loss: 0.16065892577171326
Epoch 0, global_step 104, time: 0.4511207677423954s, step_loss: 0.11114820837974548
Epoch 0, global_step 105, time: 0.4607027880847454s, step_loss: 0.3044086694717407
Epoch 0, global_step 106, time: 0.44804316386580467s, step_loss: 0.15393000841140747
Epoch 0, global_step 107, time: 0.4630374573171139s, step_loss: 0.17976456880569458
Epoch 0, global_step 108, time: 0.45082979649305344s, step_loss: 0.3151792585849762
Epoch 0, global_step 109, time: 0.4601103253662586s, step_loss: 0.21589061617851257
Epoch 0, global_step 110, time: 0.46023423969745636s, step_loss: 0.28860169649124146
Epoch 0, global_step 111, time: 0.4516324959695339s, step_loss: 0.013901282101869583
Epoch 0, global_step 112, time: 0.4465240128338337s, step_loss: 0.32226431369781494
Epoch 0, global_step 113, time: 0.4490618072450161s, step_loss: 0.1008310467004776
Epoch 0, global_step 114, time: 0.4514246731996536s, step_loss: 0.19236135482788086
Epoch 0, global_step 115, time: 0.44589659571647644s, step_loss: 0.27893829345703125
Epoch 0, global_step 116, time: 0.4508656859397888s, step_loss: 0.007453883532434702
Epoch 0, global_step 117, time: 0.4586722329258919s, step_loss: 0.17689500749111176
Epoch 0, global_step 118, time: 0.45348427817225456s, step_loss: 0.005902724340558052
Epoch 0, global_step 119, time: 0.45734182745218277s, step_loss: 0.2533581256866455
Epoch 0, global_step 120, time: 0.5900967419147491s, step_loss: 0.3067222237586975
Epoch 0, global_step 121, time: 0.4632401876151562s, step_loss: 0.08226676285266876
Epoch 0, global_step 122, time: 0.47032300382852554s, step_loss: 0.0464802086353302
Epoch 0, global_step 123, time: 0.46433500200510025s, step_loss: 0.035974711179733276
Epoch 0, global_step 124, time: 0.4651328772306442s, step_loss: 0.005887055303901434
Epoch 0, global_step 125, time: 0.4580489471554756s, step_loss: 0.30451005697250366
Epoch 0, global_step 126, time: 0.4606778062880039s, step_loss: 0.01663101091980934
Epoch 0, global_step 127, time: 0.4601192772388458s, step_loss: 0.23656049370765686
Epoch 0, global_step 128, time: 0.45556820929050446s, step_loss: 0.03965657949447632
Epoch 0, global_step 129, time: 0.4605518542230129s, step_loss: 0.21950817108154297
Epoch 0, global_step 130, time: 0.4549004137516022s, step_loss: 0.2849391996860504
Epoch 0, global_step 131, time: 0.4657784402370453s, step_loss: 0.05853421241044998
Epoch 0, global_step 132, time: 0.45205024629831314s, step_loss: 0.014217110350728035
Epoch 0, global_step 133, time: 0.4482586830854416s, step_loss: 0.33851107954978943
Epoch 0, global_step 134, time: 0.45096907019615173s, step_loss: 0.10020945966243744
Epoch 0, global_step 135, time: 0.45731423795223236s, step_loss: 0.26809167861938477
Epoch 0, global_step 136, time: 0.45947252213954926s, step_loss: 0.18429240584373474
Epoch 0, global_step 137, time: 0.46009407937526703s, step_loss: 0.13968460261821747
Epoch 0, global_step 138, time: 0.4691453203558922s, step_loss: 0.17174465954303741
Epoch 0, global_step 139, time: 0.4534204863011837s, step_loss: 0.061831988394260406
Epoch 0, global_step 140, time: 0.4646192044019699s, step_loss: 0.3200896680355072
Epoch 0, global_step 141, time: 0.4581350088119507s, step_loss: 0.0662960559129715
Epoch 0, global_step 142, time: 0.45582371577620506s, step_loss: 0.003795146243646741
Epoch 0, global_step 143, time: 0.447786096483469s, step_loss: 0.10675492137670517
Epoch 0, global_step 144, time: 0.45035742223262787s, step_loss: 0.05614522099494934
Epoch 0, global_step 145, time: 0.44935397803783417s, step_loss: 0.10010232031345367
Epoch 0, global_step 146, time: 0.4519839733839035s, step_loss: 0.020868271589279175
Epoch 0, global_step 147, time: 0.4634318947792053s, step_loss: 0.2694791555404663
Epoch 0, global_step 148, time: 0.45114288479089737s, step_loss: 0.2712627649307251
Epoch 0, global_step 149, time: 0.45524999499320984s, step_loss: 0.13313910365104675
Epoch 0, global_step 150, time: 0.4531708136200905s, step_loss: 0.3145410716533661
Epoch 0, global_step 151, time: 0.46072154864668846s, step_loss: 0.27210789918899536
Epoch 0, global_step 152, time: 0.44408825412392616s, step_loss: 0.10149262845516205
Epoch 0, global_step 153, time: 0.44651171937584877s, step_loss: 0.2449859082698822
Epoch 0, global_step 154, time: 0.45674458518624306s, step_loss: 0.2727046608924866
Epoch 0, global_step 155, time: 0.46138646453619003s, step_loss: 0.2217051386833191
Epoch 0, global_step 156, time: 0.4593908078968525s, step_loss: 0.0973510593175888
Epoch 0, global_step 157, time: 0.4564272277057171s, step_loss: 0.2820710837841034
Epoch 0, global_step 158, time: 0.45570674538612366s, step_loss: 0.009362168610095978
Epoch 0, global_step 159, time: 0.4414508454501629s, step_loss: 0.35463666915893555
Epoch 0, global_step 160, time: 0.4539598375558853s, step_loss: 0.009326085448265076
Epoch 0, global_step 161, time: 0.46023906394839287s, step_loss: 0.1884547770023346
Epoch 0, global_step 162, time: 0.4542705714702606s, step_loss: 0.005545197054743767
Epoch 0, global_step 163, time: 0.46093007549643517s, step_loss: 0.09728453308343887
Epoch 0, global_step 164, time: 0.45159200578927994s, step_loss: 0.00585689302533865
Epoch 0, global_step 165, time: 0.4615779146552086s, step_loss: 0.35356998443603516
Epoch 0, global_step 166, time: 0.45494531095027924s, step_loss: 0.0037302635610103607
Epoch 0, global_step 167, time: 0.4555528573691845s, step_loss: 0.0036985946353524923
Epoch 0, global_step 168, time: 0.45177676901221275s, step_loss: 0.10953819751739502
Epoch 0, global_step 169, time: 0.46064384281635284s, step_loss: 0.011603309772908688
Epoch 0, global_step 170, time: 0.4608485475182533s, step_loss: 0.19393682479858398
Epoch 0, global_step 171, time: 0.46548425033688545s, step_loss: 0.044962942600250244
Epoch 0, global_step 172, time: 0.4778590053319931s, step_loss: 0.14735564589500427
Epoch 0, global_step 173, time: 0.4659726731479168s, step_loss: 0.09858851879835129
Epoch 0, global_step 174, time: 0.4632470868527889s, step_loss: 0.20001870393753052
Epoch 0, global_step 175, time: 0.46182703226804733s, step_loss: 0.015211675316095352
Epoch 0, global_step 176, time: 0.4619724489748478s, step_loss: 0.005126801319420338
Epoch 0, global_step 177, time: 0.45725391432642937s, step_loss: 0.30128398537635803
Epoch 0, global_step 178, time: 0.45671507716178894s, step_loss: 0.004134262911975384
Epoch 0, global_step 179, time: 0.45020274445414543s, step_loss: 0.044056184589862823
Epoch 0, global_step 180, time: 0.45298444852232933s, step_loss: 0.10076978802680969
Epoch 0, global_step 181, time: 0.44729726389050484s, step_loss: 0.0604865625500679
Epoch 0, global_step 182, time: 0.4509934261441231s, step_loss: 0.18973709642887115
Epoch 0, global_step 183, time: 0.4616653695702553s, step_loss: 0.231454998254776
Epoch 0, global_step 184, time: 0.4585639499127865s, step_loss: 0.0035549760796129704
Epoch 0, global_step 185, time: 0.4587329402565956s, step_loss: 0.03293861821293831
Epoch 0, global_step 186, time: 0.4511868245899677s, step_loss: 0.3636886775493622
Epoch 0, global_step 187, time: 0.4648830108344555s, step_loss: 0.3059091567993164
Epoch 0, global_step 188, time: 0.45877858251333237s, step_loss: 0.009324763901531696
Epoch 0, global_step 189, time: 0.4681956619024277s, step_loss: 0.16381624341011047
Epoch 0, global_step 190, time: 0.4586898200213909s, step_loss: 0.26238903403282166
Epoch 0, global_step 191, time: 0.4506796561181545s, step_loss: 0.05524773150682449
Epoch 0, global_step 192, time: 0.45336446538567543s, step_loss: 0.2563475966453552
Epoch 0, global_step 193, time: 0.45503849908709526s, step_loss: 0.036858540028333664
Epoch 0, global_step 194, time: 0.461450420320034s, step_loss: 0.03506002575159073
Epoch 0, global_step 195, time: 0.44599708169698715s, step_loss: 0.016055680811405182
Epoch 0, global_step 196, time: 0.4641028121113777s, step_loss: 0.14720633625984192
Epoch 0, global_step 197, time: 0.46131089702248573s, step_loss: 0.0683867484331131
Epoch 0, global_step 198, time: 0.461387749761343s, step_loss: 0.15408959984779358
Epoch 0, global_step 199, time: 0.4524601176381111s, step_loss: 0.05457860603928566
Epoch 0, global_step 200, time: 0.4568832777440548s, step_loss: 0.3165755271911621
Epoch 0, global_step 201, time: 0.45449335500597954s, step_loss: 0.005578509997576475
Epoch 0, global_step 202, time: 0.4562470316886902s, step_loss: 0.03089173696935177
Epoch 0, global_step 203, time: 0.449962604790926s, step_loss: 0.15354742109775543
Epoch 0, global_step 204, time: 0.4553486444056034s, step_loss: 0.026306157931685448
Epoch 0, global_step 205, time: 0.45019569993019104s, step_loss: 0.028426282107830048
Epoch 0, global_step 206, time: 0.4476068466901779s, step_loss: 0.13617059588432312
Epoch 0, global_step 207, time: 0.45565856993198395s, step_loss: 0.1601371467113495
Epoch 0, global_step 208, time: 0.4574740082025528s, step_loss: 0.08457471430301666
Epoch 0, global_step 209, time: 0.45662395656108856s, step_loss: 0.18572773039340973
Epoch 0, global_step 210, time: 0.45027295127511024s, step_loss: 0.008465166203677654
Epoch 0, global_step 211, time: 0.4544214494526386s, step_loss: 0.3194769024848938
Epoch 0, global_step 212, time: 0.4631175845861435s, step_loss: 0.10590999573469162
Epoch 0, global_step 213, time: 0.4558882378041744s, step_loss: 0.022463329136371613
Epoch 0, global_step 214, time: 0.4625999890267849s, step_loss: 0.3079017400741577
Epoch 0, global_step 215, time: 0.45258528739213943s, step_loss: 0.06407318264245987
Epoch 0, global_step 216, time: 0.4595384933054447s, step_loss: 0.0628877580165863
Epoch 0, global_step 217, time: 0.45344898477196693s, step_loss: 0.12864868342876434
Epoch 0, global_step 218, time: 0.4611402228474617s, step_loss: 0.09053988754749298
Epoch 0, global_step 219, time: 0.4585626721382141s, step_loss: 0.012350249104201794
Epoch 0, global_step 220, time: 0.4539852887392044s, step_loss: 0.06390193104743958
Epoch 0, global_step 221, time: 0.4575699605047703s, step_loss: 0.08781230449676514
Epoch 0, global_step 222, time: 0.45910339802503586s, step_loss: 0.023450162261724472
Epoch 0, global_step 223, time: 0.46128277480602264s, step_loss: 0.02237597480416298
Epoch 0, global_step 224, time: 0.454998504370451s, step_loss: 0.22951865196228027
Epoch 0, global_step 225, time: 0.4502830393612385s, step_loss: 0.021972395479679108
Epoch 0, global_step 226, time: 0.45232943445444107s, step_loss: 0.06048336252570152
Epoch 0, global_step 227, time: 0.4630892835557461s, step_loss: 0.01179758831858635
Epoch 0, global_step 228, time: 0.45970772951841354s, step_loss: 0.3663402497768402
Epoch 0, global_step 229, time: 0.45334427431225777s, step_loss: 0.10709380358457565
Epoch 0, global_step 230, time: 0.4538297839462757s, step_loss: 0.008800682611763477
Epoch 0, global_step 231, time: 0.44886113330721855s, step_loss: 0.06541167944669724
Epoch 0, global_step 232, time: 0.4486081674695015s, step_loss: 0.005693131126463413
Epoch 0, global_step 233, time: 0.46003557741642s, step_loss: 0.4531726837158203
Epoch 0, global_step 234, time: 0.45606062933802605s, step_loss: 0.0470472052693367
Epoch 0, global_step 235, time: 0.45255132019519806s, step_loss: 0.3188292682170868
Epoch 0, global_step 236, time: 0.45950794592499733s, step_loss: 0.3278122544288635
Epoch 0, global_step 237, time: 0.47590694576501846s, step_loss: 0.21297305822372437
Epoch 0, global_step 238, time: 0.45398683845996857s, step_loss: 0.2974298298358917
Epoch 0, global_step 239, time: 0.45316262543201447s, step_loss: 0.22735697031021118
Epoch 0, global_step 240, time: 0.45987750217318535s, step_loss: 0.23469790816307068
Epoch 0, global_step 241, time: 0.4552779383957386s, step_loss: 0.012906747870147228
Epoch 0, global_step 242, time: 0.45825813338160515s, step_loss: 0.006492863409221172
Epoch 0, global_step 243, time: 0.45827434584498405s, step_loss: 0.03197531774640083
Epoch 0, global_step 244, time: 0.4630790017545223s, step_loss: 0.08596386015415192
Epoch 0, global_step 245, time: 0.4602341204881668s, step_loss: 0.3536510765552521
Epoch 0, global_step 246, time: 0.46534180641174316s, step_loss: 0.026679091155529022
Epoch 0, global_step 247, time: 0.4580540172755718s, step_loss: 0.12407873570919037
Epoch 0, global_step 248, time: 0.4589906297624111s, step_loss: 0.26488634943962097
Epoch 0, global_step 249, time: 0.46026425436139107s, step_loss: 0.018880093470215797
Epoch 0, global_step 250, time: 0.45991046726703644s, step_loss: 0.19686077535152435
Epoch 0, global_step 251, time: 0.45683223009109497s, step_loss: 0.013855105265974998
Epoch 0, global_step 252, time: 0.44732869789004326s, step_loss: 0.12467202544212341
Epoch 0, global_step 253, time: 0.45325789973139763s, step_loss: 0.2513015866279602
Epoch 0, global_step 254, time: 0.4537532962858677s, step_loss: 0.09765979647636414
Epoch 0, global_step 255, time: 0.4591861851513386s, step_loss: 0.02330329827964306
Epoch 0, global_step 256, time: 0.4501555562019348s, step_loss: 0.3086090683937073
Epoch 0, global_step 257, time: 0.447892390191555s, step_loss: 0.2735515832901001
Epoch 0, global_step 258, time: 0.4479484595358372s, step_loss: 0.1808033287525177
Epoch 0, global_step 259, time: 0.4562307745218277s, step_loss: 0.006780141498893499
Epoch 0, global_step 260, time: 0.45347392931580544s, step_loss: 0.09936155378818512
Epoch 0, global_step 261, time: 0.46095260977745056s, step_loss: 0.07211828231811523
Epoch 0, global_step 262, time: 0.4521402083337307s, step_loss: 0.25515103340148926
Epoch 0, global_step 263, time: 0.4473944753408432s, step_loss: 0.19424143433570862
Epoch 0, global_step 264, time: 0.44316910579800606s, step_loss: 0.2658432424068451
Epoch 0, global_step 265, time: 0.4511340782046318s, step_loss: 0.0030176194850355387
Epoch 0, global_step 266, time: 0.4520996883511543s, step_loss: 0.11340823769569397
Epoch 0, global_step 267, time: 0.45817871019244194s, step_loss: 0.013902109116315842
Epoch 0, global_step 268, time: 0.4582199156284332s, step_loss: 0.05298842489719391
Epoch 0, global_step 269, time: 0.45460669696331024s, step_loss: 0.29597175121307373
Epoch 0, global_step 270, time: 0.45241759717464447s, step_loss: 0.14356201887130737
Epoch 0, global_step 271, time: 0.45151517540216446s, step_loss: 0.15150098502635956
Epoch 0, global_step 272, time: 0.43803801015019417s, step_loss: 0.1845628023147583
Epoch 0, global_step 273, time: 0.45871660858392715s, step_loss: 0.0065577467903494835
Epoch 0, global_step 274, time: 0.4541942998766899s, step_loss: 0.05306760221719742
Epoch 0, global_step 275, time: 0.44780487939715385s, step_loss: 0.2209511548280716
Epoch 0, global_step 276, time: 0.44949981570243835s, step_loss: 0.02115073800086975
Epoch 0, global_step 277, time: 0.4454396180808544s, step_loss: 0.23408837616443634
Epoch 0, global_step 278, time: 0.4421021081507206s, step_loss: 0.007406545802950859
Epoch 0, global_step 279, time: 0.4583767503499985s, step_loss: 0.1559792459011078
Epoch 0, global_step 280, time: 0.45112931728363037s, step_loss: 0.00790579617023468
Epoch 0, global_step 281, time: 0.44491803273558617s, step_loss: 0.022064801305532455
Epoch 0, global_step 282, time: 0.4499566815793514s, step_loss: 0.27643823623657227
Epoch 0, global_step 283, time: 0.446237038820982s, step_loss: 0.26143667101860046
Epoch 0, global_step 284, time: 0.44570380821824074s, step_loss: 0.06632046401500702
Epoch 0, global_step 285, time: 0.4568990133702755s, step_loss: 0.06276785582304001
Epoch 0, global_step 286, time: 0.44423985108733177s, step_loss: 0.21873152256011963
Epoch 0, global_step 287, time: 0.45368674397468567s, step_loss: 0.017713800072669983
Epoch 0, global_step 288, time: 0.44555605575442314s, step_loss: 0.00941305048763752
Epoch 0, global_step 289, time: 0.4451579712331295s, step_loss: 0.027227025479078293
Epoch 0, global_step 290, time: 0.44868064671754837s, step_loss: 0.3436770439147949
Epoch 0, global_step 291, time: 0.45545437932014465s, step_loss: 0.2420065701007843
Epoch 0, global_step 292, time: 0.45069436728954315s, step_loss: 0.20386511087417603
Epoch 0, global_step 293, time: 0.45064718276262283s, step_loss: 0.003911616280674934
Epoch 0, global_step 294, time: 0.4481208585202694s, step_loss: 0.06082044541835785
Epoch 0, global_step 295, time: 0.4594787172973156s, step_loss: 0.2652893364429474
Epoch 0, global_step 296, time: 0.4436991699039936s, step_loss: 0.1741914451122284
Epoch 0, global_step 297, time: 0.43952104449272156s, step_loss: 0.020565807819366455
Epoch 0, global_step 298, time: 0.4445669576525688s, step_loss: 0.12514980137348175
Epoch 0, global_step 299, time: 0.4506770670413971s, step_loss: 0.007482748478651047
Epoch 0, global_step 300, time: 0.4560519643127918s, step_loss: 0.2717249393463135
Epoch 0, global_step 301, time: 0.4531083256006241s, step_loss: 0.008942428976297379
Epoch 0, global_step 302, time: 0.44954748824238777s, step_loss: 0.004612566903233528
Epoch 0, global_step 303, time: 0.4498487003147602s, step_loss: 0.144786074757576
Epoch 0, global_step 304, time: 0.4459368921816349s, step_loss: 0.014935986138880253
Epoch 0, global_step 305, time: 0.45027006417512894s, step_loss: 0.27091094851493835
Epoch 0, global_step 306, time: 0.4535657800734043s, step_loss: 0.14875541627407074
Epoch 0, global_step 307, time: 0.4567496217787266s, step_loss: 0.2958895266056061
Epoch 0, global_step 308, time: 0.454916562885046s, step_loss: 0.16373661160469055
Epoch 0, global_step 309, time: 0.44909678399562836s, step_loss: 0.0028962462674826384
Epoch 0, global_step 310, time: 0.44359394162893295s, step_loss: 0.029161978513002396
Epoch 0, global_step 311, time: 0.45746709033846855s, step_loss: 0.007917664013803005
Epoch 0, global_step 312, time: 0.45141730830073357s, step_loss: 0.26677918434143066
Epoch 0, global_step 313, time: 0.4454384781420231s, step_loss: 0.013175608590245247
Epoch 0, global_step 314, time: 0.4506658501923084s, step_loss: 0.13979032635688782
Epoch 0, global_step 315, time: 0.4565305523574352s, step_loss: 0.028620027005672455
Epoch 0, global_step 316, time: 0.45296620577573776s, step_loss: 0.3052923083305359
Epoch 0, global_step 317, time: 0.4540499672293663s, step_loss: 0.01598835550248623
Epoch 0, global_step 318, time: 0.454218965023756s, step_loss: 0.01567883975803852
Epoch 0, global_step 319, time: 0.45664242282509804s, step_loss: 0.06362675130367279
Epoch 0, global_step 320, time: 0.45597679167985916s, step_loss: 0.06135997176170349
